bigram,n,total_sentiment
crude gross,2,negative
crude joke,2,negative
crude sketchy,2,negative
cruel badly,2,negative
cruel disorder,2,negative
cruel irony,2,negative
cruel merciless,2,negative
crush chaos,2,negative
crush crumble,2,negative
crush enemies,2,negative
crush shit,2,negative
crushing buggy,2,negative
crushing bugs,2,negative
crushing darkness,2,negative
crushing doubts,2,negative
crushing enemies,2,negative
crushing lack,2,negative
crushing lag,2,negative
crushing loneliness,2,negative
crushing sadness,2,negative
cry curse,2,negative
cry hacks,2,negative
cry hell,2,negative
cry itch,2,negative
cry jerk,2,negative
cry poorly,2,negative
cry suffers,2,negative
cumbersome alienation,2,negative
cumbersome bloated,2,negative
cumbersome broken,2,negative
cure depression,2,negative
cure stun,2,negative
cure wounds,2,negative
curse infected,2,negative
curse overwhelms,2,negative
cute bad,2,negative
cute bugs,2,negative
cute demon,2,negative
cute distraction,2,negative
cute enemies,2,negative
cute gimmick,2,negative
cute lacks,2,negative
cute silly,2,negative
cute stupid,2,negative
cute twist,2,negative
cute waste,2,negative
cynical cynical,2,negative
damage assault,2,negative
damage breaking,2,negative
damage bugs,2,negative
damage cons,2,negative
damage crashes,2,negative
damage depression,2,negative
damage destruction,2,negative
damage died,2,negative
damage falls,2,negative
damage glitch,2,negative
damage glitches,2,negative
damage hell,2,negative
damage kill,2,negative
damage limited,2,negative
damage missed,2,negative
damage opponent,2,negative
damage randomly,2,negative
damage retreat,2,negative
damage ruin,2,negative
damage sadly,2,negative
damage slashing,2,negative
damage terrible,2,negative
damage trap,2,negative
damage unfunded,2,negative
damage zombie,2,negative
damaged enemy,2,negative
damaged hard,2,negative
damaged incapable,2,negative
damaging attack,2,negative
damaging bugs,2,negative
damn angry,2,negative
damn aweful,2,negative
damn cliche,2,negative
damn creepy,2,negative
damn crime,2,negative
damn dents,2,negative
damn desert,2,negative
damn disappointing,2,negative
damn drab,2,negative
damn enemies,2,negative
damn fallout,2,negative
damn flakey,2,negative
damn fool,2,negative
damn freezes,2,negative
damn frustrated,2,negative
damn hate,2,negative
damn hell,2,negative
damn hype,2,negative
damn idiots,2,negative
damn inconsistent,2,negative
damn invisible,2,negative
damn liars,2,negative
damn loot,2,negative
damn loser,2,negative
damn lost,2,negative
damn monotonous,2,negative
damn noise,2,negative
damn object,2,negative
damn overpriced,2,negative
damn passive,2,negative
damn petty,2,negative
damn rampant,2,negative
damn regret,2,negative
damn resistance,2,negative
damn rift,2,negative
damn simplistic,2,negative
damn slap,2,negative
damn sucker,2,negative
damn tricky,2,negative
damn trouble,2,negative
damn unrealistic,2,negative
damn upset,2,negative
damn vent,2,negative
damn worse,2,negative
damn wrong,2,negative
damned bug,2,negative
damned difficult,2,negative
damned enemies,2,negative
damned grind,2,negative
damned hell,2,negative
damned helpless,2,negative
damned horrible,2,negative
damned joke,2,negative
damned monster,2,negative
damned parasite,2,negative
damned poor,2,negative
damned pricey,2,negative
damned stupid,2,negative
damned tank,2,negative
damned terrible,2,negative
damned tired,2,negative
damning flaws,2,negative
damning issues,2,negative
damning sin,2,negative
danger enemies,2,negative
danger hell,2,negative
danger lurking,2,negative
dangerous dungeons,2,negative
dangerous fiasco,2,negative
dangerous meaningless,2,negative
dangerous object,2,negative
dangerous sick,2,negative
dangerous virus,2,negative
dark clunky,2,negative
dark cons,2,negative
dark darkness,2,negative
dark death,2,negative
dark desert,2,negative
dark desperate,2,negative
dark difficult,2,negative
dark emergency,2,negative
dark enemy,2,negative
dark evil,2,negative
dark foreboding,2,negative
dark freaking,2,negative
dark gross,2,negative
dark hard,2,negative
dark hatred,2,negative
dark heresy,2,negative
dark horrible,2,negative
dark hostile,2,negative
dark murky,2,negative
dark ruined,2,negative
dark rusty,2,negative
dark sad,2,negative
dark smash,2,negative
dark terrible,2,negative
dark threat,2,negative
dark twists,2,negative
dark unknown,2,negative
dark violent,2,negative
dark weird,2,negative
darkness apocalypse,2,negative
darkness blah,2,negative
darkness killed,2,negative
darkness ruin,2,negative
dashing attack,2,negative
dashing rogue,2,negative
dastardly pig,2,negative
daunting difficulty,2,negative
dead bug,2,negative
dead chill,2,negative
dead cold,2,negative
dead crashing,2,negative
dead decayed,2,negative
dead dungeons,2,negative
dead failed,2,negative
dead fall,2,negative
dead fool,2,negative
dead funnily,2,negative
dead hell,2,negative
dead horrid,2,negative
dead idiot,2,negative
dead ignore,2,negative
dead laggy,2,negative
dead limited,2,negative
dead nervous,2,negative
dead pigs,2,negative
dead rust,2,negative
dead shallow,2,negative
dead static,2,negative
dead stuck,2,negative
dead suck,2,negative
dead uglier,2,negative
dead unable,2,negative
dead unsupported,2,negative
dead wasted,2,negative
deadly deadly,2,negative
deadly fall,2,negative
deadly knife,2,negative
deadly mistakes,2,negative
deadly plague,2,negative
deadly rage,2,negative
deadly slow,2,negative
deadly trap,2,negative
deadly wrong,2,negative
death attack,2,negative
death bomb,2,negative
death bugs,2,negative
death cheap,2,negative
death cloud,2,negative
death cons,2,negative
death crap,2,negative
death cry,2,negative
death damage,2,negative
death die,2,negative
death difficulty,2,negative
death dying,2,negative
death fool,2,negative
death gimmick,2,negative
death grind,2,negative
death hard,2,negative
death headache,2,negative
death horrible,2,negative
death insulting,2,negative
death isolated,2,negative
death killing,2,negative
death lack,2,negative
death lags,2,negative
death lame,2,negative
death lost,2,negative
death murder,2,negative
death noise,2,negative
death restricted,2,negative
death sadly,2,negative
death shoddy,2,negative
death slog,2,negative
death starvation,2,negative
death suicide,2,negative
death terrible,2,negative
death unable,2,negative
death waste,2,negative
death worst,2,negative
death wrong,2,negative
debilitating flaws,2,negative
debilitating illness,2,negative
decay breakdown,2,negative
decay cons,2,negative
decay enemies,2,negative
deceit boredom,2,negative
deceit hell,2,negative
deceit lies,2,negative
deceitful overkill,2,negative
decent blow,2,negative
decent bugs,2,negative
decent challenging,2,negative
decent freeze,2,negative
decent gimmick,2,negative
decent horde,2,negative
decent kill,2,negative
decent mystery,2,negative
decent opponent,2,negative
decent punch,2,negative
decent rail,2,negative
decent rant,2,negative
decent scare,2,negative
decent showdown,2,negative
decent stab,2,negative
decent tank,2,negative
decent wild,2,negative
deception annoying,2,negative
deception bad,2,negative
decisive blow,2,negative
dedicated hard,2,negative
dedicated issues,2,negative
dedicated lack,2,negative
defeat bad,2,negative
defeat chaos,2,negative
defeat dungeons,2,negative
defeat fallout,2,negative
defeat overpriced,2,negative
defeat rip,2,negative
defeated tank,2,negative
defeating dungeon,2,negative
defeating evil,2,negative
defender losing,2,negative
defensive attacks,2,negative
defiance screwed,2,negative
deficiency syndrome,2,negative
deformed insane,2,negative
degenerate noxious,2,negative
delay bug,2,negative
delay kill,2,negative
delay loot,2,negative
delayed attack,2,negative
delayed hard,2,negative
delayed sticky,2,negative
delaying infected,2,negative
delicious fried,2,negative
delicious loot,2,negative
delightful sarcasm,2,negative
delusional liar,2,negative
demon assassin,2,negative
demon blah,2,negative
demon death,2,negative
demon die,2,negative
demon enemies,2,negative
demon enemy,2,negative
demon horde,2,negative
demon infested,2,negative
demon killing,2,negative
demon slowly,2,negative
demonic enemies,2,negative
demonic evil,2,negative
demonic sting,2,negative
demonic villains,2,negative
denied terrible,2,negative
dense stupid,2,negative
deny creep,2,negative
deplorable enemy,2,negative
deplorable fist,2,negative
depressed angry,2,negative
depressed broken,2,negative
depressed depressed,2,negative
depressed depression,2,negative
depressed lonely,2,negative
depressed suicidal,2,negative
depressed tired,2,negative
depressed whiny,2,negative
depressing confusing,2,negative
depressing emptiness,2,negative
depressing garbage,2,negative
depressing grind,2,negative
depressing lacks,2,negative
depressing obsessive,2,negative
depressing slow,2,negative
depressing ugly,2,negative
depressing waste,2,negative
depressing zombie,2,negative
depressingly bland,2,negative
depressingly dull,2,negative
depressingly mediocre,2,negative
depressingly repetitive,2,negative
depressingly simplistic,2,negative
depressingly ugly,2,negative
depressingly worse,2,negative
depression anger,2,negative
depression misery,2,negative
depression sucks,2,negative
desert boring,2,negative
desert desert,2,negative
desert prison,2,negative
desolate bleakness,2,negative
desolate ruins,2,negative
desperate attack,2,negative
desperate hell,2,negative
desperate ploy,2,negative
desperately bad,2,negative
desperately begging,2,negative
desperately struggle,2,negative
desperately unfinished,2,negative
despicable greed,2,negative
despicable waste,2,negative
despise lost,2,negative
destiny sucked,2,negative
destroy blah,2,negative
destroy bully,2,negative
destroy monster,2,negative
destroy poorly,2,negative
destroy steal,2,negative
destructive issues,2,negative
deter delay,2,negative
detrimental bugs,2,negative
devastating bugs,2,negative
devastatingly bad,2,negative
devastatingly boring,2,negative
devastatingly hard,2,negative
devious trap,2,negative
deviously difficult,2,negative
diabolical monster,2,negative
die dungeon,2,negative
die faint,2,negative
die fall,2,negative
die frustrating,2,negative
die helplessly,2,negative
die hopeless,2,negative
die insanity,2,negative
die lack,2,negative
die lame,2,negative
die lie,2,negative
die mindlessly,2,negative
die miserably,2,negative
die pathetic,2,negative
die refuse,2,negative
die scum,2,negative
die unfairly,2,negative
die violently,2,negative
die weird,2,negative
died bait,2,negative
died difficulty,2,negative
died hard,2,negative
died kill,2,negative
died lag,2,negative
died losing,2,negative
died miserably,2,negative
died overkill,2,negative
died pointless,2,negative
died shame,2,negative
died stupid,2,negative
died stupidly,2,negative
died unfairly,2,negative
dies broken,2,negative
dies crappy,2,negative
dies hard,2,negative
dies slowly,2,negative
dies straining,2,negative
difficult annoying,2,negative
difficult chore,2,negative
difficult complicated,2,negative
difficult crappy,2,negative
difficult death,2,negative
difficult die,2,negative
difficult dying,2,negative
difficult horrible,2,negative
difficult kills,2,negative
difficult lack,2,negative
difficult opponent,2,negative
difficult sketchy,2,negative
difficult slog,2,negative
difficult stressful,2,negative
difficult unpleasant,2,negative
difficult waste,2,negative
difficult worst,2,negative
difficulties cons,2,negative
difficulties enemy,2,negative
difficulties nightmare,2,negative
difficulties overkill,2,negative
difficulties troubles,2,negative
difficulty abysmal,2,negative
difficulty bland,2,negative
difficulty broken,2,negative
difficulty brutal,2,negative
difficulty bs,2,negative
difficulty cheap,2,negative
difficulty complex,2,negative
difficulty confusing,2,negative
difficulty difficult,2,negative
difficulty dungeon,2,negative
difficulty false,2,negative
difficulty finicky,2,negative
difficulty frustration,2,negative
difficulty hell,2,negative
difficulty mar,2,negative
difficulty overkill,2,negative
difficulty pointless,2,negative
difficulty poorly,2,negative
difficulty ridiculous,2,negative
difficulty rife,2,negative
difficulty ruined,2,negative
difficulty stupid,2,negative
difficulty sucks,2,negative
difficulty ugh,2,negative
difficulty unfairly,2,negative
difficulty wildly,2,negative
diplomatic mess,2,negative
diplomatic penalty,2,negative
dire hard,2,negative
dire lack,2,negative
dire threats,2,negative
dire warning,2,negative
dire waste,2,negative
dire wounds,2,negative
direly lacking,2,negative
dirt bomb,2,negative
dirt desert,2,negative
dirt weed,2,negative
dirty dusty,2,negative
dirty fat,2,negative
dirty filthy,2,negative
dirty hacks,2,negative
dirty insane,2,negative
dirty rude,2,negative
disable vibration,2,negative
disabled enemies,2,negative
disabled trapped,2,negative
disapointed lack,2,negative
disapointed sad,2,negative
disapointed suck,2,negative
disapointing enemies,2,negative
disapointment overkill,2,negative
disappointed angry,2,negative
disappointed frustrated,2,negative
disappointed issues,2,negative
disappointed jaded,2,negative
disappointed lacks,2,negative
disappointed mundane,2,negative
disappointed poorly,2,negative
disappointed revenge,2,negative
disappointed sad,2,negative
disappointed sadly,2,negative
disappointed shame,2,negative
disappointed warning,2,negative
disappointed waste,2,negative
disappointing abrupt,2,negative
disappointing awkward,2,negative
disappointing bad,2,negative
disappointing clunky,2,negative
disappointing crashes,2,negative
disappointing error,2,negative
disappointing failure,2,negative
disappointing lacking,2,negative
disappointing lacks,2,negative
disappointing misleading,2,negative
disappointing regret,2,negative
